IP Prefix	Description
52.93.112.0/24	eu-west-1-amazon-eu-west-1-104
52.93.178.138/32	us-west-1-amazon-us-west-1-105
54.239.0.224/28	us-east-2-amazon-us-east-2-106
54.239.48.0/22	us-west-2-amazon-us-west-2-107
13.248.119.0/24	eu-west-1-globalaccelerator-eu-west-1-3084
15.230.39.254/31	us-east-2-amazon-us-east-2-109
52.93.81.0/24	eu-west-1-amazon-eu-west-1-110
52.93.240.170/31	us-west-2-amazon-us-west-2-111
54.74.0.0/15	eu-west-1-ec2-eu-west-1-2426
150.222.114.0/24	ap-east-1-amazon-ap-east-1-113
150.222.242.214/31	eu-west-3-amazon-eu-west-3-114
13.34.27.32/27	eu-west-2-amazon-eu-west-2-115
15.230.39.206/31	us-east-2-amazon-us-east-2-116
15.230.39.244/31	us-east-2-amazon-us-east-2-117
52.83.0.0/16	cn-northwest-1-ec2-cn-northwest-1-2427
52.93.14.18/32	us-west-2-amazon-us-west-2-119
52.94.6.0/24	ap-northeast-2-dynamodb-ap-northeast-2-2371
52.144.197.192/26	us-west-2-amazon-us-west-2-121
150.222.2.0/24	us-east-1-amazon-us-east-1-122
150.222.3.234/31	ap-southeast-1-amazon-ap-southeast-1-123
150.222.240.245/32	eu-south-1-amazon-eu-south-1-124
13.34.23.0/27	us-east-2-amazon-us-east-2-125
15.230.138.0/24	af-south-1-amazon-af-south-1-126
52.47.0.0/16	eu-west-3-ec2-eu-west-3-2428
52.93.16.0/24	eu-west-1-amazon-eu-west-1-128
52.94.249.144/28	ap-east-1-ec2-ap-east-1-2429
52.95.255.64/28	eu-west-1-ec2-eu-west-1-2430
52.144.199.128/26	ca-central-1-amazon-ca-central-1-131
52.144.225.64/26	ap-northeast-1-amazon-ap-northeast-1-132
52.219.48.0/22	ap-southeast-1-s3-ap-southeast-1-2244
54.240.236.22/32	eu-south-1-amazon-eu-south-1-134
204.246.168.0/22	GLOBAL-cloudfront-GLOBAL-3014
13.34.25.248/29	ap-south-1-amazon-ap-south-1-136
13.208.0.0/16	ap-northeast-3-ec2-ap-northeast-3-2431
15.193.7.0/24	us-west-2-ec2-us-west-2-2432
15.230.39.108/31	us-east-2-amazon-us-east-2-139
52.93.50.136/31	us-east-1-amazon-us-east-1-140
52.93.50.166/31	us-east-1-amazon-us-east-1-141
52.93.66.155/32	ap-northeast-1-amazon-ap-northeast-1-142
52.93.96.0/24	eu-west-1-amazon-eu-west-1-143
54.156.0.0/14	us-east-1-ec2-us-east-1-2433
54.236.0.0/15	us-east-1-ec2-us-east-1-2434
99.150.8.0/21	us-east-1-ec2-us-east-1-2435
3.5.136.0/22	eu-central-1-ec2-eu-central-1-2436
15.230.29.0/24	ap-southeast-1-amazon-ap-southeast-1-148
15.230.39.14/31	us-east-2-amazon-us-east-2-149
18.191.0.0/16	us-east-2-ec2-us-east-2-2437
52.144.210.0/26	eu-west-1-amazon-eu-west-1-151
99.77.159.0/24	eu-south-1-ec2-eu-south-1-2438
99.83.97.0/24	us-west-1-amazon-us-west-1-153
15.177.82.0/24	ap-southeast-1-route53_healthchecks_publishing-ap-southeast-1-3147
52.93.127.112/32	ap-southeast-1-amazon-ap-southeast-1-155
52.93.178.134/32	us-west-1-amazon-us-west-1-156
52.93.240.160/31	us-west-2-amazon-us-west-2-157
52.144.211.196/31	eu-west-2-amazon-eu-west-2-158
52.219.72.0/22	eu-central-1-s3-eu-central-1-2246
54.153.128.0/17	ap-southeast-2-ec2-ap-southeast-2-2440
54.222.58.0/28	cn-north-1-amazon-cn-north-1-161
122.248.192.0/18	ap-southeast-1-ec2-ap-southeast-1-2441
150.222.119.0/24	ap-southeast-2-amazon-ap-southeast-2-163
13.34.22.160/27	us-east-2-amazon-us-east-2-164
15.230.39.34/31	us-east-2-amazon-us-east-2-165
15.230.44.0/22	ap-south-1-amazon-ap-south-1-166
18.192.0.0/15	eu-central-1-ec2-eu-central-1-2442
52.92.60.0/22	ap-northeast-1-s3-ap-northeast-1-2247
52.93.126.132/32	eu-central-1-amazon-eu-central-1-169
52.93.127.126/32	ap-south-1-amazon-ap-south-1-170
52.93.133.177/32	eu-south-1-amazon-eu-south-1-171
52.93.178.183/32	us-west-1-amazon-us-west-1-172
52.144.215.192/31	eu-north-1-amazon-eu-north-1-173
52.219.68.0/22	ap-northeast-1-s3-ap-northeast-1-2248
54.229.0.0/16	eu-west-1-ec2-eu-west-1-2443
54.239.1.96/28	eu-north-1-amazon-eu-north-1-176
13.248.100.0/24	eu-north-1-globalaccelerator-eu-north-1-3085
15.230.130.0/24	us-east-1-amazon-us-east-1-178
52.93.5.0/24	ca-central-1-amazon-ca-central-1-179
52.93.50.146/31	us-east-1-amazon-us-east-1-180
52.93.50.156/31	us-east-1-amazon-us-east-1-181
52.93.120.178/32	us-west-1-amazon-us-west-1-182
52.93.127.124/32	us-east-1-amazon-us-east-1-183
52.144.193.128/26	us-east-1-amazon-us-east-1-184
54.250.0.0/16	ap-northeast-1-ec2-ap-northeast-1-2444
64.252.89.0/24	eu-central-1-ec2-eu-central-1-2445
107.20.0.0/14	us-east-1-ec2-us-east-1-2446
3.5.160.0/22	us-west-1-ec2-us-west-1-2447
15.230.40.0/24	us-east-1-amazon-us-east-1-189
46.51.192.0/20	eu-west-1-ec2-eu-west-1-2448
52.93.50.174/31	us-east-1-amazon-us-east-1-191
52.93.178.161/32	us-west-1-amazon-us-west-1-192
52.93.193.200/32	ca-central-1-amazon-ca-central-1-193
52.95.174.0/24	me-south-1-s3-me-south-1-2251
99.77.149.0/24	sa-east-1-ec2-sa-east-1-2449
99.78.156.0/22	eu-central-1-amazon-eu-central-1-196
150.222.120.20/31	eu-central-1-amazon-eu-central-1-197
150.222.220.0/24	ap-south-1-amazon-ap-south-1-198
3.132.0.0/14	us-east-2-ec2-us-east-2-2450
15.230.132.0/24	eu-west-1-amazon-eu-west-1-200
52.46.208.0/21	eu-north-1-amazon-eu-north-1-201
52.93.51.28/32	us-east-1-amazon-us-east-1-202
52.94.12.0/24	us-west-1-dynamodb-us-west-1-2373
63.32.0.0/14	eu-west-1-ec2-eu-west-1-2451
64.252.85.0/24	eu-west-2-ec2-eu-west-2-2452
150.222.3.240/31	ap-southeast-1-amazon-ap-southeast-1-206
150.222.129.134/31	eu-central-1-amazon-eu-central-1-207
13.36.0.0/14	eu-west-3-ec2-eu-west-3-2453
15.230.36.0/23	us-west-1-amazon-us-west-1-209
15.230.39.54/31	us-east-2-amazon-us-east-2-210
52.92.72.0/22	sa-east-1-s3-sa-east-1-2252
52.93.240.188/31	us-west-2-amazon-us-west-2-212
99.82.184.0/22	ap-southeast-2-amazon-ap-southeast-2-213
150.222.121.0/24	eu-west-1-amazon-eu-west-1-214
172.96.98.0/24	eu-west-1-amazon-eu-west-1-215
15.230.66.0/26	us-east-1-amazon-us-east-1-216
15.230.131.32/28	eu-central-1-amazon-eu-central-1-217
52.46.252.0/22	us-east-1-amazon-us-east-1-218
52.95.255.16/28	ap-southeast-2-ec2-ap-southeast-2-2454
54.240.236.38/32	eu-south-1-amazon-eu-south-1-220
150.222.3.198/31	ap-southeast-1-amazon-ap-southeast-1-221
15.230.131.8/31	eu-central-1-amazon-eu-central-1-222
18.236.0.0/15	us-west-2-ec2-us-west-2-2455
52.93.50.142/31	us-east-1-amazon-us-east-1-224
52.93.127.104/32	cn-northwest-1-amazon-cn-northwest-1-225
52.93.240.192/31	us-west-2-amazon-us-west-2-226
52.94.249.80/28	us-west-1-ec2-us-west-1-2456
54.240.198.0/24	us-west-1-amazon-us-west-1-228
64.252.74.0/24	us-east-2-ec2-us-east-2-2457
150.222.227.0/24	us-east-1-amazon-us-east-1-230
13.34.29.128/27	us-east-1-amazon-us-east-1-231
13.248.32.0/20	ap-east-1-amazon-ap-east-1-232
52.94.199.0/24	us-east-2-amazon-us-east-2-233
52.95.128.0/21	ap-southeast-2-s3-ap-southeast-2-2253
52.119.206.0/23	us-east-1-amazon-us-east-1-235
64.252.79.0/24	sa-east-1-ec2-sa-east-1-2458
150.222.243.9/32	eu-south-1-amazon-eu-south-1-237
176.32.125.230/31	us-east-1-amazon-us-east-1-238
205.251.252.0/23	GLOBAL-cloudfront-GLOBAL-3015
13.34.23.224/27	us-west-2-amazon-us-west-2-240
13.248.113.0/24	eu-west-1-globalaccelerator-eu-west-1-3086
15.188.0.0/16	eu-west-3-ec2-eu-west-3-2459
15.230.39.220/31	us-east-2-amazon-us-east-2-243
52.93.133.153/32	eu-south-1-amazon-eu-south-1-244
52.93.178.231/32	us-west-1-amazon-us-west-1-245
52.95.178.0/23	ap-southeast-3-s3-ap-southeast-3-2254
54.200.0.0/15	us-west-2-ec2-us-west-2-2460
54.239.1.16/28	eu-west-3-amazon-eu-west-3-248
185.143.16.0/24	eu-west-1-amazon-eu-west-1-249
205.251.244.0/23	us-east-1-amazon-us-east-1-250
52.46.92.0/22	eu-west-3-amazon-eu-west-3-251
52.93.50.178/31	us-east-1-amazon-us-east-1-252
52.93.50.188/31	us-east-1-amazon-us-east-1-253
52.93.236.0/24	us-east-1-amazon-us-east-1-254
