IP Prefix	Description
150.222.203.0/24	eu-north-1-amazon-eu-north-1-457
207.171.176.0/20	us-east-1-amazon-us-east-1-458
15.230.32.0/24	eu-west-1-amazon-eu-west-1-459
15.230.39.192/31	us-east-2-amazon-us-east-2-460
52.93.178.179/32	us-west-1-amazon-us-west-1-461
54.231.248.0/22	ap-southeast-2-s3-ap-southeast-2-2263
54.240.236.18/32	eu-south-1-amazon-eu-south-1-463
99.77.138.0/24	eu-south-1-ec2-eu-south-1-2524
150.222.5.0/24	eu-central-1-amazon-eu-central-1-465
150.222.120.62/31	eu-central-1-amazon-eu-central-1-466
162.250.238.0/23	us-east-1-ec2-us-east-1-2525
178.236.0.0/20	eu-west-1-amazon-eu-west-1-468
3.5.152.0/21	ap-northeast-1-ec2-ap-northeast-1-2526
15.230.39.72/31	us-east-2-amazon-us-east-2-470
18.224.0.0/14	us-east-2-ec2-us-east-2-2527
52.56.0.0/16	eu-west-2-ec2-eu-west-2-2528
52.93.153.149/32	eu-west-2-amazon-eu-west-2-473
52.93.178.170/32	us-west-1-amazon-us-west-1-474
52.93.178.223/32	us-west-1-amazon-us-west-1-475
52.144.233.70/31	ap-northeast-3-amazon-ap-northeast-3-476
54.240.212.0/22	us-west-1-amazon-us-west-1-477
54.245.0.0/16	us-west-2-ec2-us-west-2-2529
150.222.100.0/24	us-east-1-amazon-us-east-1-479
13.34.27.0/27	eu-west-2-amazon-eu-west-2-480
13.34.33.64/27	eu-central-1-amazon-eu-central-1-481
13.248.105.0/24	ap-south-1-globalaccelerator-ap-south-1-3091
18.230.0.0/16	sa-east-1-ec2-sa-east-1-2530
52.58.0.0/15	eu-central-1-ec2-eu-central-1-2531
52.93.50.130/32	us-east-1-amazon-us-east-1-485
52.93.127.25/32	eu-west-1-amazon-eu-west-1-486
52.218.0.0/17	eu-west-1-s3-eu-west-1-2265
150.222.176.0/22	us-west-2-amazon-us-west-2-488
13.34.30.96/27	us-east-1-amazon-us-east-1-489
13.248.0.0/20	ap-northeast-3-amazon-ap-northeast-3-490
15.230.39.174/31	us-east-2-amazon-us-east-2-491
15.230.39.240/31	us-east-2-amazon-us-east-2-492
52.95.29.0/26	us-east-2-amazon-us-east-2-493
52.144.228.0/31	ap-south-1-amazon-ap-south-1-494
99.77.152.0/24	us-west-2-ec2-us-west-2-2532
3.131.0.0/16	us-east-2-ec2-us-east-2-2533
13.34.29.96/27	us-east-1-amazon-us-east-1-497
15.230.39.158/31	us-east-2-amazon-us-east-2-498
52.219.0.0/20	ap-northeast-1-s3-ap-northeast-1-2266
54.240.248.0/21	us-west-2-amazon-us-west-2-500
69.107.6.120/29	us-west-1-amazon-us-west-1-501
150.222.208.74/31	af-south-1-amazon-af-south-1-502
150.222.240.239/32	eu-south-1-amazon-eu-south-1-503
176.32.125.252/31	us-east-1-amazon-us-east-1-504
52.93.178.130/32	us-west-1-amazon-us-west-1-505
52.95.0.0/20	us-east-2-amazon-us-east-2-506
205.251.246.0/24	us-east-1-amazon-us-east-1-507
3.96.0.0/15	ca-central-1-ec2-ca-central-1-2534
52.93.127.108/32	ap-southeast-1-amazon-ap-southeast-1-509
52.93.178.157/32	us-west-1-amazon-us-west-1-510
52.93.178.168/32	us-west-1-amazon-us-west-1-511
52.94.32.0/20	eu-west-2-amazon-eu-west-2-512
54.216.0.0/15	eu-west-1-ec2-eu-west-1-2535
150.222.3.232/31	ap-southeast-1-amazon-ap-southeast-1-514
150.222.122.106/31	eu-central-1-amazon-eu-central-1-515
3.5.252.0/22	ca-central-1-ec2-ca-central-1-2536
23.20.0.0/14	us-east-1-ec2-us-east-1-2537
52.46.168.0/23	us-east-1-amazon-us-east-1-518
52.93.151.0/24	sa-east-1-amazon-sa-east-1-519
52.94.248.80/28	ap-northeast-1-ec2-ap-northeast-1-2538
64.252.64.0/24	us-east-1-ec2-us-east-1-2539
99.77.143.0/24	ap-southeast-1-ec2-ap-southeast-1-2540
13.56.0.0/16	us-west-1-ec2-us-west-1-2541
15.230.39.4/31	us-east-2-amazon-us-east-2-524
15.230.39.30/31	us-east-2-amazon-us-east-2-525
15.230.131.12/31	eu-central-1-amazon-eu-central-1-526
18.184.0.0/15	eu-central-1-ec2-eu-central-1-2542
52.93.127.131/32	ap-south-1-amazon-ap-south-1-528
52.93.178.185/32	us-west-1-amazon-us-west-1-529
52.93.240.154/31	us-west-2-amazon-us-west-2-530
54.240.236.45/32	eu-south-1-amazon-eu-south-1-531
72.21.192.0/19	us-east-1-amazon-us-east-1-532
205.251.200.0/21	GLOBAL-cloudfront-GLOBAL-3023
15.230.39.12/31	us-east-2-amazon-us-east-2-534
15.230.39.242/31	us-east-2-amazon-us-east-2-535
15.230.141.0/24	cn-north-1-amazon-cn-north-1-536
35.160.0.0/13	us-west-2-ec2-us-west-2-2543
52.48.0.0/14	eu-west-1-ec2-eu-west-1-2544
52.94.198.80/28	ap-south-1-amazon-ap-south-1-539
54.231.0.0/17	us-east-1-s3-us-east-1-2269
99.77.137.0/24	eu-north-1-ec2-eu-north-1-2545
150.222.243.53/32	eu-south-1-amazon-eu-south-1-542
223.71.71.128/25	GLOBAL-cloudfront-GLOBAL-3024
13.32.0.0/15	GLOBAL-cloudfront-GLOBAL-3025
13.112.0.0/14	ap-northeast-1-ec2-ap-northeast-1-2546
15.230.39.66/31	us-east-2-amazon-us-east-2-546
52.68.0.0/15	ap-northeast-1-ec2-ap-northeast-1-2547
52.144.231.64/26	ap-southeast-1-amazon-ap-southeast-1-548
54.67.0.0/16	us-west-1-ec2-us-west-1-2548
99.82.173.0/24	ap-southeast-1-globalaccelerator-ap-southeast-1-3092
18.60.0.0/15	ap-south-2-ec2-ap-south-2-2549
52.57.0.0/16	eu-central-1-ec2-eu-central-1-2550
52.94.124.0/22	us-east-1-amazon-us-east-1-553
52.144.211.192/31	eu-west-2-amazon-eu-west-2-554
120.253.245.128/26	GLOBAL-cloudfront-GLOBAL-3026
150.222.3.180/32	ap-southeast-1-amazon-ap-southeast-1-556
150.222.98.0/24	eu-west-1-amazon-eu-west-1-557
150.222.101.0/24	us-west-1-amazon-us-west-1-558
150.222.120.234/31	eu-central-1-amazon-eu-central-1-559
3.36.0.0/14	ap-northeast-2-ec2-ap-northeast-2-2551
13.224.0.0/14	GLOBAL-cloudfront-GLOBAL-3027
52.93.50.176/31	us-east-1-amazon-us-east-1-562
52.93.127.24/32	eu-west-1-amazon-eu-west-1-563
52.93.178.209/32	us-west-1-amazon-us-west-1-564
52.119.240.0/21	eu-west-1-dynamodb-eu-west-1-2378
54.239.0.80/28	ap-northeast-1-amazon-ap-northeast-1-566
54.240.216.0/22	us-east-1-amazon-us-east-1-567
99.82.128.0/20	me-south-1-amazon-me-south-1-568
99.82.166.0/24	us-east-1-globalaccelerator-us-east-1-3093
13.248.97.0/24	eu-central-1-globalaccelerator-eu-central-1-3094
18.190.0.0/16	us-east-2-ec2-us-east-2-2552
52.82.168.0/24	cn-northwest-1-ec2-cn-northwest-1-2553
52.93.178.143/32	us-west-1-amazon-us-west-1-573
54.222.58.48/28	cn-north-1-amazon-cn-north-1-574
150.222.213.40/32	us-west-1-amazon-us-west-1-575
150.222.242.84/31	eu-west-3-amazon-eu-west-3-576
162.213.232.0/24	eu-west-1-ec2-eu-west-1-2554
15.230.39.18/31	us-east-2-amazon-us-east-2-578
13.34.31.192/27	us-west-1-amazon-us-west-1-579
15.230.39.154/31	us-east-2-amazon-us-east-2-580
52.93.73.0/26	ap-northeast-1-amazon-ap-northeast-1-581
52.93.178.137/32	us-west-1-amazon-us-west-1-582
52.94.198.144/28	eu-west-2-amazon-eu-west-2-583
52.94.208.0/21	us-west-2-amazon-us-west-2-584
52.95.227.0/24	eu-north-1-ec2-eu-north-1-2555
54.68.0.0/14	us-west-2-ec2-us-west-2-2556
54.93.0.0/16	eu-central-1-ec2-eu-central-1-2557
70.132.0.0/18	GLOBAL-cloudfront-GLOBAL-3028
150.222.230.124/31	eu-central-1-amazon-eu-central-1-589
13.50.0.0/16	eu-north-1-ec2-eu-north-1-2558
52.44.0.0/15	us-east-1-ec2-us-east-1-2559
52.76.128.0/17	ap-southeast-1-ec2-ap-southeast-1-2560
52.92.40.0/21	eu-west-1-s3-eu-west-1-2271
52.219.32.0/21	ap-southeast-1-s3-ap-southeast-1-2272
54.95.0.0/16	ap-northeast-1-ec2-ap-northeast-1-2561
54.212.0.0/15	us-west-2-ec2-us-west-2-2562
99.87.4.0/22	ap-south-2-amazon-ap-south-2-597
150.222.3.177/32	ap-southeast-1-amazon-ap-southeast-1-598
150.222.69.0/24	sa-east-1-amazon-sa-east-1-599
3.5.228.0/22	af-south-1-ec2-af-south-1-2563
13.34.30.64/27	us-east-1-amazon-us-east-1-601
15.230.133.16/32	ap-southeast-1-amazon-ap-southeast-1-602
52.93.8.0/22	ap-southeast-1-amazon-ap-southeast-1-603
150.222.3.236/31	ap-southeast-1-amazon-ap-southeast-1-604
3.124.0.0/14	eu-central-1-ec2-eu-central-1-2564
15.230.4.19/32	ap-southeast-1-amazon-ap-southeast-1-606
52.82.176.0/22	cn-northwest-1-ec2-cn-northwest-1-2565
52.93.240.150/31	us-west-2-amazon-us-west-2-608
52.144.194.192/26	us-west-1-amazon-us-west-1-609
54.183.0.0/16	us-west-1-ec2-us-west-1-2566
54.240.236.33/32	eu-south-1-amazon-eu-south-1-611
54.240.236.49/32	eu-south-1-amazon-eu-south-1-612
3.24.0.0/14	ap-southeast-2-ec2-ap-southeast-2-2567
52.93.133.133/32	eu-south-1-amazon-eu-south-1-614
52.95.34.0/24	ap-northeast-1-amazon-ap-northeast-1-615
52.144.225.0/26	ap-east-1-amazon-ap-east-1-616
54.240.236.10/32	eu-south-1-amazon-eu-south-1-617
150.222.13.0/24	eu-west-1-amazon-eu-west-1-618
150.222.120.252/32	eu-central-1-amazon-eu-central-1-619
205.251.247.0/24	us-east-1-amazon-us-east-1-620
13.249.0.0/16	GLOBAL-cloudfront-GLOBAL-3029
15.193.6.0/24	us-east-1-ec2-us-east-1-2568
15.230.39.212/31	us-east-2-amazon-us-east-2-623
15.230.65.0/26	eu-central-1-amazon-eu-central-1-624
64.252.103.0/24	ap-southeast-1-ec2-ap-southeast-1-2569
150.222.122.102/31	eu-central-1-amazon-eu-central-1-626
150.222.240.135/32	eu-south-1-amazon-eu-south-1-627
15.177.86.0/24	ap-east-1-route53_healthchecks_publishing-ap-east-1-3149
15.221.8.0/21	ap-southeast-1-amazon-ap-southeast-1-629
18.144.0.0/15	us-west-1-ec2-us-west-1-2571
52.90.0.0/15	us-east-1-ec2-us-east-1-2572
52.93.127.105/32	cn-northwest-1-amazon-cn-northwest-1-632
52.93.138.253/32	eu-west-2-amazon-eu-west-2-633
52.93.178.213/32	us-west-1-amazon-us-west-1-634
52.95.157.0/24	ap-northeast-3-s3-ap-northeast-3-2274
52.144.208.192/26	eu-west-1-amazon-eu-west-1-636
108.175.52.0/22	us-gov-east-1-s3-us-gov-east-1-2275
150.222.3.226/31	ap-southeast-1-amazon-ap-southeast-1-638
150.222.208.88/31	af-south-1-amazon-af-south-1-639
13.34.30.0/27	us-east-1-amazon-us-east-1-640
52.0.0.0/15	us-east-1-ec2-us-east-1-2573
52.82.184.0/23	cn-northwest-1-ec2-cn-northwest-1-2574
52.93.193.198/32	ca-central-1-amazon-ca-central-1-643
52.93.250.0/23	ap-northeast-1-amazon-ap-northeast-1-644
52.95.176.0/24	af-south-1-s3-af-south-1-2276
52.95.253.0/24	eu-west-2-ec2-eu-west-2-2575
54.239.120.0/21	ap-northeast-2-amazon-ap-northeast-2-647
140.179.0.0/16	cn-north-1-ec2-cn-north-1-2576
150.222.3.200/31	ap-southeast-1-amazon-ap-southeast-1-649
150.222.234.0/24	us-west-1-amazon-us-west-1-650
205.251.208.0/20	GLOBAL-cloudfront-GLOBAL-3030
52.93.12.12/32	us-west-2-amazon-us-west-2-652
52.95.255.128/28	eu-central-1-ec2-eu-central-1-2577
52.208.0.0/13	eu-west-1-ec2-eu-west-1-2578
54.239.0.208/28	ap-south-1-amazon-ap-south-1-655
99.77.0.0/20	me-central-1-amazon-me-central-1-656
103.246.150.0/23	ap-northeast-1-amazon-ap-northeast-1-657
150.222.10.0/24	eu-central-1-amazon-eu-central-1-658
13.34.22.192/27	us-east-2-amazon-us-east-2-659
13.248.120.0/24	eu-west-2-globalaccelerator-eu-west-2-3095
15.230.39.170/31	us-east-2-amazon-us-east-2-661
52.54.0.0/15	us-east-1-ec2-us-east-1-2579
52.93.3.0/24	us-east-1-amazon-us-east-1-663
52.95.230.0/24	us-west-2-ec2-us-west-2-lax-1-2580
54.240.225.0/24	ap-northeast-1-amazon-ap-northeast-1-665
54.240.236.85/32	eu-south-1-amazon-eu-south-1-666
99.78.212.0/22	ap-southeast-2-amazon-ap-southeast-2-667
150.222.3.208/31	ap-southeast-1-amazon-ap-southeast-1-668
150.222.106.0/24	us-west-1-amazon-us-west-1-669
150.222.129.118/31	eu-central-1-amazon-eu-central-1-670
150.222.230.108/31	eu-central-1-amazon-eu-central-1-671
52.74.0.0/16	ap-southeast-1-ec2-ap-southeast-1-2581
52.93.50.182/31	us-east-1-amazon-us-east-1-673
54.168.0.0/16	ap-northeast-1-ec2-ap-northeast-1-2582
54.239.54.0/23	eu-central-1-amazon-eu-central-1-675
13.34.31.160/27	us-west-1-amazon-us-west-1-676
15.177.89.0/24	eu-west-1-route53_healthchecks_publishing-eu-west-1-3150
15.230.4.156/31	ap-southeast-1-amazon-ap-southeast-1-678
18.156.0.0/14	eu-central-1-ec2-eu-central-1-2584
52.93.126.244/32	ap-south-1-amazon-ap-south-1-680
52.93.133.129/32	eu-south-1-amazon-eu-south-1-681
52.95.24.0/22	us-east-2-amazon-us-east-2-682
52.119.196.0/22	us-east-1-amazon-us-east-1-683
52.144.218.64/26	eu-west-1-amazon-eu-west-1-684
64.252.113.0/24	ap-northeast-1-ec2-ap-northeast-1-2585
79.125.0.0/17	eu-west-1-ec2-eu-west-1-2586
99.77.134.0/24	eu-west-2-ec2-eu-west-2-2587
99.78.144.0/21	af-south-1-amazon-af-south-1-688
13.34.22.88/29	ap-south-1-amazon-ap-south-1-689
15.177.77.0/24	ap-northeast-3-route53_healthchecks_publishing-ap-northeast-3-3151
15.177.90.0/24	eu-south-1-route53_healthchecks_publishing-eu-south-1-3152
52.46.224.0/20	us-gov-west-1-amazon-us-gov-west-1-692
52.93.126.146/32	af-south-1-amazon-af-south-1-693
52.95.156.0/24	eu-west-3-s3-eu-west-3-2278
54.180.0.0/15	ap-northeast-2-ec2-ap-northeast-2-2590
99.77.253.0/24	us-west-2-ec2-us-west-2-2591
150.222.71.0/24	us-east-1-amazon-us-east-1-697
150.222.120.228/31	eu-central-1-amazon-eu-central-1-698
15.177.79.0/24	ap-northeast-1-route53_healthchecks_publishing-ap-northeast-1-3153
15.230.39.122/31	us-east-2-amazon-us-east-2-700
52.93.50.190/31	us-east-1-amazon-us-east-1-701
52.95.160.0/23	ap-east-1-s3-ap-east-1-2279
54.64.0.0/15	ap-northeast-1-ec2-ap-northeast-1-2593
103.8.172.0/22	ap-southeast-2-amazon-ap-southeast-2-704
150.222.122.92/31	eu-central-1-amazon-eu-central-1-705
150.222.230.98/31	eu-central-1-amazon-eu-central-1-706
176.34.0.0/19	ap-northeast-1-ec2-ap-northeast-1-2594
13.34.25.64/27	us-west-2-amazon-us-west-2-708
15.230.39.152/31	us-east-2-amazon-us-east-2-709
15.230.39.184/31	us-east-2-amazon-us-east-2-710
15.230.131.1/32	eu-central-1-amazon-eu-central-1-711
35.80.0.0/12	us-west-2-ec2-us-west-2-2595
52.93.178.194/32	us-west-1-amazon-us-west-1-713
52.93.178.210/32	us-west-1-amazon-us-west-1-714
52.219.62.0/23	ap-south-1-s3-ap-south-1-2280
69.107.6.216/29	eu-west-1-amazon-eu-west-1-716
99.77.147.0/24	me-south-1-ec2-me-south-1-2596
150.222.208.76/31	af-south-1-amazon-af-south-1-718
13.34.28.224/27	us-west-2-amazon-us-west-2-719
13.34.29.160/27	us-east-1-amazon-us-east-1-720
15.230.39.118/31	us-east-2-amazon-us-east-2-721
15.230.65.64/26	eu-central-1-amazon-eu-central-1-722
52.93.178.184/32	us-west-1-amazon-us-west-1-723
52.93.240.182/31	us-west-2-amazon-us-west-2-724
54.223.0.0/16	cn-north-1-ec2-cn-north-1-2597
54.239.0.48/28	eu-west-1-amazon-eu-west-1-726
54.239.64.0/21	eu-central-1-amazon-eu-central-1-727
65.9.128.0/18	GLOBAL-cloudfront-GLOBAL-3031
99.77.129.0/24	us-east-1-ec2-us-east-1-2598
108.175.60.0/22	us-gov-east-1-ec2-us-gov-east-1-2599
150.222.3.186/32	ap-southeast-1-amazon-ap-southeast-1-731
150.222.122.94/31	eu-central-1-amazon-eu-central-1-732
15.230.39.46/31	us-east-2-amazon-us-east-2-733
15.230.39.68/31	us-east-2-amazon-us-east-2-734
46.51.224.0/19	ap-northeast-1-ec2-ap-northeast-1-2600
52.95.111.0/24	ap-northeast-2-amazon-ap-northeast-2-736
54.179.0.0/16	ap-southeast-1-ec2-ap-southeast-1-2601
54.240.203.0/24	ap-southeast-2-amazon-ap-southeast-2-738
130.176.128.0/18	GLOBAL-cloudfront-GLOBAL-3032
150.222.134.0/24	eu-west-2-amazon-eu-west-2-740
13.248.127.0/24	ap-southeast-1-globalaccelerator-ap-southeast-1-3096
15.230.131.5/32	eu-central-1-amazon-eu-central-1-742
52.144.224.64/26	ap-southeast-2-amazon-ap-southeast-2-743
54.170.0.0/15	eu-west-1-ec2-eu-west-1-2602
99.82.171.0/24	us-east-1-globalaccelerator-us-east-1-3097
3.5.164.0/22	ap-southeast-2-ec2-ap-southeast-2-2603
15.221.33.0/24	ca-central-1-amazon-ca-central-1-747
15.230.39.92/31	us-east-2-amazon-us-east-2-748
15.230.51.0/24	eu-west-1-amazon-eu-west-1-749
15.230.64.0/26	eu-west-2-amazon-eu-west-2-750
52.93.92.66/32	us-west-1-amazon-us-west-1-751
52.93.178.159/32	us-west-1-amazon-us-west-1-752
52.93.178.189/32	us-west-1-amazon-us-west-1-753
52.93.240.166/31	us-west-2-amazon-us-west-2-754
52.95.151.0/24	eu-south-1-s3-eu-south-1-2284
52.144.200.64/26	us-east-1-amazon-us-east-1-756
52.144.211.128/26	eu-west-2-amazon-eu-west-2-757
99.77.131.0/24	us-east-2-ec2-us-east-2-2604
150.222.3.178/32	ap-southeast-1-amazon-ap-southeast-1-759
150.222.129.112/31	eu-central-1-amazon-eu-central-1-760
3.5.240.0/22	ap-northeast-3-ec2-ap-northeast-3-2605
13.34.31.64/27	us-east-1-amazon-us-east-1-762
15.230.39.134/31	us-east-2-amazon-us-east-2-763
15.230.49.0/24	cn-north-1-amazon-cn-north-1-764
35.153.0.0/16	us-east-1-ec2-us-east-1-2606
52.61.0.0/16	us-gov-west-1-ec2-us-gov-west-1-2607
52.79.0.0/16	ap-northeast-2-ec2-ap-northeast-2-2608
52.93.127.113/32	ap-southeast-1-amazon-ap-southeast-1-768
52.93.137.0/24	ap-northeast-2-amazon-ap-northeast-2-769
99.150.48.0/21	ap-northeast-1-ec2-ap-northeast-1-2609
150.222.89.0/24	cn-north-1-amazon-cn-north-1-771
13.248.96.0/24	eu-west-1-globalaccelerator-eu-west-1-3098
15.230.39.126/31	us-east-2-amazon-us-east-2-773
52.95.158.0/23	ap-northeast-3-s3-ap-northeast-3-2287
52.144.192.128/26	us-east-1-amazon-us-east-1-775
52.144.233.128/31	ap-northeast-3-amazon-ap-northeast-3-776
52.216.0.0/15	us-east-1-s3-us-east-1-2288
54.240.236.34/32	eu-south-1-amazon-eu-south-1-778
99.82.144.0/21	me-south-1-amazon-me-south-1-779
99.82.169.0/24	eu-west-2-globalaccelerator-eu-west-2-3099
150.222.80.0/24	eu-west-1-amazon-eu-west-1-781
15.230.64.192/26	eu-central-1-amazon-eu-central-1-782
52.12.0.0/15	us-west-2-ec2-us-west-2-2610
52.93.126.245/32	ap-south-1-amazon-ap-south-1-784
52.93.133.175/32	eu-south-1-amazon-eu-south-1-785
52.220.0.0/15	ap-southeast-1-ec2-ap-southeast-1-2611
54.231.252.0/24	ap-southeast-2-s3-ap-southeast-2-2289
54.239.1.128/28	af-south-1-amazon-af-south-1-788
162.250.236.0/24	us-east-1-ec2-us-east-1-2612
15.230.39.140/31	us-east-2-amazon-us-east-2-790
18.163.0.0/16	ap-east-1-ec2-ap-east-1-2613
52.46.250.0/23	us-east-1-amazon-us-east-1-792
52.93.240.168/31	us-west-2-amazon-us-west-2-793
52.94.5.0/24	eu-west-1-dynamodb-eu-west-1-2379
52.144.228.128/26	ap-south-1-amazon-ap-south-1-795
54.199.0.0/16	ap-northeast-1-ec2-ap-northeast-1-2614
150.222.141.0/24	ap-northeast-1-amazon-ap-northeast-1-797
150.222.205.0/24	us-east-1-amazon-us-east-1-798
15.230.39.50/31	us-east-2-amazon-us-east-2-799
15.230.39.146/31	us-east-2-amazon-us-east-2-800
18.142.0.0/15	ap-southeast-1-ec2-ap-southeast-1-2615
46.137.192.0/19	ap-southeast-1-ec2-ap-southeast-1-2616
52.93.178.181/32	us-west-1-amazon-us-west-1-803
52.200.0.0/13	us-east-1-ec2-us-east-1-2617
52.219.96.0/20	us-east-2-s3-us-east-2-2290
54.222.32.0/22	cn-north-1-ec2-cn-north-1-2618
205.251.232.0/22	us-west-2-amazon-us-west-2-807
15.230.39.32/31	us-east-2-amazon-us-east-2-808
34.224.0.0/12	us-east-1-ec2-us-east-1-2619
52.75.0.0/16	us-west-2-ec2-us-west-2-2620
52.82.160.0/22	cn-northwest-1-amazon-cn-northwest-1-811
52.144.215.194/31	eu-north-1-amazon-eu-north-1-812
99.78.128.0/20	af-south-1-amazon-af-south-1-813
99.82.164.0/24	sa-east-1-globalaccelerator-sa-east-1-3100
150.222.3.238/31	ap-southeast-1-amazon-ap-southeast-1-815
13.34.31.96/27	us-east-1-amazon-us-east-1-816
52.93.126.138/32	ap-southeast-2-amazon-ap-southeast-2-817
52.93.153.80/32	eu-west-2-amazon-eu-west-2-818
52.95.148.0/23	eu-west-2-s3-eu-west-2-2291
58.254.138.0/25	GLOBAL-cloudfront-GLOBAL-3033
13.34.33.0/27	eu-central-1-amazon-eu-central-1-821
15.177.66.0/23	us-east-2-route53_healthchecks_publishing-us-east-2-3154
52.94.248.224/28	us-gov-west-1-ec2-us-gov-west-1-2622
52.95.162.0/24	ap-east-1-s3-ap-east-1-2292
52.95.255.48/28	ap-northeast-1-ec2-ap-northeast-1-2623
54.218.0.0/16	us-west-2-ec2-us-west-2-2624
150.222.215.0/24	eu-west-2-amazon-eu-west-2-827
3.5.76.0/22	us-west-2-ec2-us-west-2-2625
15.197.4.0/22	GLOBAL-globalaccelerator-GLOBAL-3101
52.93.133.155/32	eu-south-1-amazon-eu-south-1-830
52.94.16.0/24	eu-west-3-dynamodb-eu-west-3-2380
52.144.195.0/26	us-east-1-amazon-us-east-1-832
64.252.78.0/24	sa-east-1-ec2-sa-east-1-2626
43.250.192.0/24	ap-southeast-1-amazon-ap-southeast-1-834
52.93.126.133/32	eu-central-1-amazon-eu-central-1-835
54.239.113.0/24	eu-west-1-amazon-eu-west-1-836
64.252.117.0/24	eu-west-1-ec2-eu-west-1-2627
176.32.112.0/21	us-west-1-amazon-us-west-1-838
52.93.50.164/31	us-east-1-amazon-us-east-1-839
52.93.120.179/32	us-west-2-amazon-us-west-2-840
52.144.209.192/26	eu-west-2-amazon-eu-west-2-841
52.144.218.0/26	eu-west-1-amazon-eu-west-1-842
54.240.236.5/32	eu-south-1-amazon-eu-south-1-843
99.80.0.0/15	eu-west-1-ec2-eu-west-1-2628
15.230.39.124/31	us-east-2-amazon-us-east-2-845
15.230.39.200/31	us-east-2-amazon-us-east-2-846
52.93.64.0/24	us-east-1-amazon-us-east-1-847
52.93.80.0/24	eu-west-2-amazon-eu-west-2-848
52.94.69.0/24	eu-central-1-amazon-eu-central-1-849
52.94.120.0/22	us-west-2-amazon-us-west-2-850
54.239.40.152/29	ap-northeast-2-amazon-ap-northeast-2-851
54.240.236.1/32	eu-south-1-amazon-eu-south-1-852
99.77.188.0/24	GLOBAL-globalaccelerator-GLOBAL-3102
13.34.29.64/27	us-east-1-amazon-us-east-1-854
13.248.121.0/24	eu-west-1-globalaccelerator-eu-west-1-3103
15.230.39.166/31	us-east-2-amazon-us-east-2-856
52.93.178.192/32	us-west-1-amazon-us-west-1-857
52.94.10.0/24	us-west-2-dynamodb-us-west-2-2381
99.82.170.0/24	ap-northeast-1-globalaccelerator-ap-northeast-1-3104
13.248.122.0/24	eu-north-1-globalaccelerator-eu-north-1-3105
52.93.127.139/32	eu-central-1-amazon-eu-central-1-861
52.93.178.195/32	us-west-1-amazon-us-west-1-862
52.93.178.222/32	us-west-1-amazon-us-west-1-863
52.95.249.0/24	ap-south-1-ec2-ap-south-1-2629
54.230.208.0/20	GLOBAL-cloudfront-GLOBAL-3034
54.244.0.0/16	us-west-2-ec2-us-west-2-2630
64.252.87.0/24	eu-central-1-ec2-eu-central-1-2631
99.82.174.0/24	ca-central-1-globalaccelerator-ca-central-1-3106
150.222.3.244/31	ap-southeast-1-amazon-ap-southeast-1-869
150.222.3.250/31	ap-southeast-1-amazon-ap-southeast-1-870
46.137.224.0/19	ap-southeast-1-ec2-ap-southeast-1-2632
52.95.42.0/24	us-west-1-amazon-us-west-1-872
65.0.0.0/14	ap-south-1-ec2-ap-south-1-2633
99.82.156.0/22	GLOBAL-globalaccelerator-GLOBAL-3107
99.150.80.0/21	eu-south-1-ec2-eu-south-1-2634
13.34.32.64/27	us-west-1-amazon-us-west-1-876
52.93.127.116/32	ap-southeast-1-amazon-ap-southeast-1-877
52.93.178.133/32	us-west-1-amazon-us-west-1-878
52.93.178.224/32	us-west-1-amazon-us-west-1-879
63.246.112.0/24	eu-north-1-ec2-eu-north-1-2635
150.222.122.96/31	eu-central-1-amazon-eu-central-1-881
50.19.0.0/16	us-east-1-ec2-us-east-1-2636
52.93.127.107/32	ap-southeast-1-amazon-ap-southeast-1-883
52.93.240.152/31	us-west-2-amazon-us-west-2-884
99.79.0.0/16	ca-central-1-ec2-ca-central-1-2637
116.129.226.0/25	GLOBAL-cloudfront-GLOBAL-3035
150.222.73.0/24	us-east-1-amazon-us-east-1-887
15.230.131.0/32	eu-central-1-amazon-eu-central-1-888
44.224.0.0/11	us-west-2-ec2-us-west-2-2638
52.81.0.0/16	cn-north-1-ec2-cn-north-1-2639
52.93.135.195/32	eu-south-1-amazon-eu-south-1-891
52.222.128.0/17	GLOBAL-cloudfront-GLOBAL-3036
150.222.104.0/24	eu-central-1-amazon-eu-central-1-893
150.222.240.207/32	eu-south-1-amazon-eu-south-1-894
13.34.33.96/27	eu-central-1-amazon-eu-central-1-895
15.221.4.0/23	us-east-1-amazon-us-east-1-896
15.230.39.110/31	us-east-2-amazon-us-east-2-897
52.144.211.64/26	eu-west-2-amazon-eu-west-2-898
150.222.109.0/24	ca-central-1-amazon-ca-central-1-899
150.222.208.68/31	af-south-1-amazon-af-south-1-900
3.2.3.0/24	us-east-1-ec2-us-east-1-bos-1-2640
13.34.29.0/27	sa-east-1-amazon-sa-east-1-902
52.93.126.137/32	ap-southeast-2-amazon-ap-southeast-2-903
52.93.178.200/32	us-west-1-amazon-us-west-1-904
150.222.3.214/31	ap-southeast-1-amazon-ap-southeast-1-905
15.230.38.0/24	us-east-1-amazon-us-east-1-906
15.230.39.88/31	us-east-2-amazon-us-east-2-907
15.230.133.0/28	ap-southeast-1-amazon-ap-southeast-1-908
52.93.126.139/32	ap-southeast-2-amazon-ap-southeast-2-909
52.93.127.68/32	us-east-1-amazon-us-east-1-910
52.95.172.0/23	me-south-1-s3-me-south-1-2296
